abandon abandonment
hospitalize hospitalization
house housing
housesit housesitter
humanise humanisation
humanize humanization
humiliate humiliation
hunt hunt hunter
hybridize hybridization
hydrate hydration
hydrolyze hydrolysis
hydroxylate hydroxylation
hyperphosphorylate hyperphosphorylation
hyphen hyphenation
hyphenate hyphenation
hypnotize hypnotist
hypostatize hypostatization
idealise idealisation
idealize idealization
ideate ideation
identify identification
idolize idolization
ignite ignition
illuminate illumination
illumine illumination
illustrate illustration illustrator
imagine imagination
imitate imitation imitator
immerse immersion
immigrate immigration
immobilize immobilization
immolate immolation
immunize immunization
immunoblot immunoblotting
immunodetect immunodetection
immunoprecipitate immunoprecipitation
impact impact
impair impairment
impale impalement
impart impartation
impeach impeachment
impel impulsion impeller
impersonate impersonation impersonator
impinge impingement
implant implantation
implement implementation
implicate implication
implode implosion
imply implication
import import importer
impose imposition
impound impoundment
impoverish impoverishment
imprecate imprecation
impregnate impregnation
impress impression
imprison imprisonment
improve improvement
improvise improvisation
impute imputation
inactivate inactivation
inaugurate inauguration
incarcerate incarceration
incarnate incarnation
incinerate incineration
incise incision
incite incitation
incline inclination
include inclusion
incorporate incorporation
increase increase
incriminate incrimination
incubate incubation
inculcate inculcation
inculpate inculpation
indemnify indemnification
indent indentation
index indexation indexer
indicate indication
indict indiction
indispose indisposition
individualize individualization
individuate individuation
indoctrinate indoctrination
induce inducement
induct inductance
industrialize industrialization
inebriate inebriation
infatuate infatuation
infect infection
infest infestation
infiltrate infiltration
inflate inflation
inflect inflection
inflict infliction
influence influence
inform information
infract infraction
infringe infringement
infuriate infuriation
infuse infusion
ingest ingestion
inhabit inhabitation
inhale inhalation
inherit inheritance
inhibit inhibition
initiate initiation
inject injection
injure injury
innovate innovation innovator
inoculate inoculation
input inputter
inquire inquiry
inseminate insemination
insert insertion
insinuate insinuation
insist insistence
inspect inspection inspector
inspire inspiration
install installation
instigate instigation
instill instillation
institute institution
instruct instruction instructor
instrument instrumentation
instrumentate instrumentation
insulate insulation
insure insurance insurer
integrate integration
intend intention
intensify intensification
inter interment
interact interaction
intercalate intercalation
intercede intercession
intercept interception
intercommunicate intercommunication
interconnect interconnection
interdict interdiction
interest interest
interfere interference
interject interjection
interlope interloper
intermit intermission
intern internment
internalize internalization
internationalise internationalisation
internationalize internationalization
interpellate interpellation
interpolate interpolation
interpose interposition
interpret interpretation interpreter
interrelate interrelation
interrogate interrogation interrogator
interrupt interruption
intersect intersection
intervene intervention
interview interview interviewer
intimate intimation
intimidate intimidation
intonate intonation
intone intonation
intoxicate intoxication
intrench intrenchment
introduce introduction
introject introjection
introspect introspection
intrude intrusion intruder
invade invasion
invaginate invagination
invalid invalidation
invalidate invalidation
invent invention inventor
invest investment investor
investigate investigation investigator
invigilate invigilation
invite invitation
involve involvement
iodinate iodination
ionize ionization
irradiate irradiation
irrigate irrigation
irritate irritation
irrupt irruption
isolate isolation
isomerize isomerization
issue issue
itemize itemization
iterate iteration
jail jailing
jest jester
jewel jeweler
jog jogger
joke joker
jolt jolt
jubilate jubilation
judge judgement
juggle juggler
jump jump
justify justification
juxtapose juxtaposition
keep keeper
kick kicker
kill killing killer
kiss kisser
knit knitter
knock out knock-out
knock knock
know knowledge
label label
labor laborer
lacerate laceration
lack lack
lactate lactation
lament lamentation
laminate lamination
land landing
laud lauder
laugh laughter
launch launch
lay off lay-off
lead leadership leader
leak leakage
lean leaning
leap leap
learn learning
lease lease
leave departure
legalize legalization
legislate legislation legislator
lend lending lender
level leveller
leverage leverage
levitate levitation
liberalize liberalization
liberate liberation
license license
lie lie
lift lifting
limit limit
line up line-up
link link
liquidate liquidation liquidator
list list
listen listening listener
litigate litigation litigator
live life
loan loan
lobby lobbying lobbyist
localise localisation
localize localization
locate location
lock locking
locomote locomotion
lodge lodgement
log logging
loom loom
lose loss loser
love love lover
lubricate lubrication
lure lure
macerate maceration
machine machination
maculate maculation
magnetize magnetization
magnify magnification
mail mailing
maintain maintenance
make making maker
maledict malediction
malign malignance
maltreat maltreatment
manage management management
mandate mandate
maneuver maneuver
manifest manifestation
manipulate manipulation
manufacture manufacture manufacturer
manumit manumission
map mapper
march march marcher
mark mark
market marketing
marry marriage
massage masseur
masticate mastication
masturbate masturbation
match match
materialize materialization
matriculate matriculation
maturate maturation
mature maturation
maximize maximization
mean meaning
measure measurement
mechanize mechanization
mediate mediation mediator
medicate medication
meditate meditation
meet meeting
meliorate melioration
memorialize memorialization
memorize memorization
mend mender
menstruate menstruation
mention mention
merchandise merchandiser
merge merger
methylate methylation
migrate migration
militarize militarization
mimic mime
mine mining miner
miniaturise miniaturisation
miniaturize miniaturization
minimize minimization
misally misalliance
misapply misapplication
misappropriate misappropriation
misbehave misbehavior
miscalculate miscalculation
miscegenate miscegenation
misconceive misconception
misconstrue misconstrual
misdirect misdirection
misgovern misgovernment
misinform misinformation
misinterpret misinterpretation
mismanage mismanagement
misperceive misperception
misquote misquotation
misrepresent misrepresentation
misstate misstatement
mistranslate mistranslation
mistreat mistreatment
mitigate mitigation
mix mix
mobilize mobilization
model model model
moderate moderation
modernize modernization
modify modification
modulate modulation
molest molestation
mollify mollification
monetize monetization
monitor monitoring monitor
monopolize monopolization
mortify mortification
motivate motivation
motorize motorization
mount mounting
move movement
mug mugger
multiply multiplication
mummify mummification
murder murder murderer
murmur murmuration
mutate mutation
mutilate mutilation
mystify mystification
mythologize mythologization
name name
narrate narration narrator
narrow narrowing
nationalize nationalization
naturalize naturalization
navigate navigation navigator
need necessity
negate negation
negociate negociation
negotiate negotiation negotiator
neutralize neutralization
nip nipper
nitrify nitrification
nominate nomination
normalize normalization
note notation
notify notification
nourish nourishment
nullify nullification
nurse nursing
nutate nutation
obey obedience
obfuscate obfuscation
object objection
objurgate objurgation
obligate obligation
oblige obligation
obliterate obliteration
observe observation observer
obsess obsession
obstruct obstruction
obviate obviation
occlude occlusion
occupy occupation
occur occurrence
offend offense offender
offer offer
officiate officiation
omit omission
open opening
operate operation operator
opine opinion
oppose opposition
opt option
orate oration
orchestrate orchestration orchestrator
order order
organise organisation
organize organization organizer
orient orientation
orientate orientation
originate origination originator
ornament ornamentation
oscillate oscillation
osculate osculation
ossify ossification
oust ousting
outline outline
output outputter
overcapitalize overcapitalization
overestimate overestimation
overexert overexertion
overgeneralize overgeneralization
overhaul overhaul
overpay overpayment
overproduce overproduction
overprotect overprotection
overreact overreaction
override override
oversimplify oversimplification
overstate overstatement
overturn overturn
overvalue overvaluation
ovulate ovulation
owe debt
own ownership owner
oxidise oxidisation
oxidize oxidization
pacify pacification
pack packing packer
package packaging
paginate pagination
paint painting painter
palliate palliation
palmitoylate palmitoylation
palpate palpation
palpitate palpitation
panhandle panhandler
panic panic
parachute paratrooper
paralyze paralysis
parch parchment
park parking
participate participation
particularize particularization
pass passage
pasteurize pasteurization
patrol patroller
pattern pattern
pauperize pauperization
pave pavement
pay off pay-off
pay payment payer
peak peak
peculate peculation
pedal pedaller
peddle peddling peddler
penalize penalization
penetrate penetration
peptize peptization
perambulate perambulation
perceive perception
peregrinate peregrination
perfect perfection
perforate perforation
perform performance performer
perfuse perfusion
permeate permeation
permit permission
permute permutation
perorate peroration
perpetrate perpetration
perpetuate perpetuation
persecute persecution
persevere perseveration
persist persistence
personate personation
personify personification
perspire perspiration
persuade persuasion
perturb perturbation
peruse perusal
pervade pervasion
petrify petrification
phosphorylate phosphorylation
pick up pick-up
pick picking picker
pigment pigmentation
pilot pilot
pioneer pioneer
pitch pitching pitcher
placate placation
place placation
plagiarise plagiarisation
plagiarize plagiarization
plague plague
plan plan planner
plant planting planter
plaster plasterer
play play player
plead plea
pledge pledge
plot plot plotter
plow plowman
plunge plunge
poach poacher
polarize polarization
poll polling
pollinate pollination
pollute pollution
polymerize polymerization
popularize popularization
populate population
portray portrayal
position position
possess possession
post posting
postpone postponement
postulate postulation
potentiate potentiation
practice practice
praise praise
pray prayer
pre-try pre-trial
preach preachment preacher
prearrange prearrangement
precede precession
precipitate precipitation
preclude preclusion
preconceive preconception
predate predation
predestinate predestination
predestine predestination
predetermine predetermination
predicate predication
predict prediction predictor
predispose predisposition
predominate predomination
preempt preemption
prefabricate prefabrication
prefer preference
prefigure prefiguration
prejudge prejudgement
premeditate premeditation
prepare preparation
prepay prepayment
prescribe prescription
present presentation presenter
preserve preservation
press press
pressure pressure
presume presumption
presuppose presupposition
prevaricate prevarication
prevent prevention
price price
print printing printer
privatize privatization
probate probation
probe probation
proceed procedure
process process processor
proclaim proclamation
procrastinate procrastination
procreate procreation
procure procural
prod prodding
produce production producer
profane profanation
profit profit
profiteer profiteer
prognosticate prognostication prognosticator
program programming programmer
progress progress
prohibit prohibition
project projection
proliferate proliferation
prolong prolongation
promise promise
promote promotion promoter
promulgate promulgation
pronate pronation
pronounce pronouncement
proofread proofreader
propagate propagation
propel propulsion
propitiate propitiation
propose proposal
prorate proration
prosecute prosecution prosecutor
prostitute prostitution
prostrate prostration
protect protection protector
protest protest protester
protract protraction
protrude protrusion
prove proof
provide provision provider
provoke provocation
psychoanalyze psychoanalysis
publish publication publisher
puff puffer
pull pull
pullulate pullulation
pulsate pulsation
pulse pulsation
pulverize pulverization
punctuate punctuation
punish punishment
purchase purchase purchaser
purge purgation
purify purification
pursue pursuit pursuer
purvey purveyance
push push
put putter
puzzle puzzlement
qualify qualification
quantify quantification
question question
quit quitter
quote quotation
race racing
radiate radiation
raid raider
raise raise
rally rally
ramify ramification
randomize randomization
range range
rank ranking
rape rape rapist
rate rate
ratify ratification
rationalize rationalization
ravish ravishment
re-elect re-election
re-examine re-examination
reach reach
react reaction
read reading reader
readjust readjustment
readmit readmission
realize realization
reap reaper
reappear reappearance
reappraise reappraisal
rearrange rearrangement
reason reasoner
reassemble reassembly
reassess reassessment
reassign reassignment
reassure reassurance
reauthorize reauthorization
rebound rebound
rebuild reconstruction
recall recall
recant recantation
recapitulate recapitulation
recede recession
receive reception receiver
reciprocate reciprocation
recite recital
reckon reckoning
